txn_id,account_id,customer_id,timestamp,amount,currency,direction,channel,counterparty,counterparty_country,asset_type,crypto_symbol,wallet_type,buyer_id,is_conversion
TXN9DD5360034,ACCA91A5FC0,CUST0019,2026-04-01T00:23:43,5925.61,USD,debit,wire,Merchant/Osei,GB,FIAT,,,,False
TXNA08CF1565A,ACC53946092,CUST0012,2026-04-01T02:31:52,2690.84,SOL,debit,crypto,NovaCrypto,CA,CRYPTO,SOL,exchange_wallet,,False
TXNA22A4E9D64,ACC5D8749DD,CUST0035,2026-04-01T03:10:39,909.49,USD,debit,ach,Merchant/Abara,SG,FIAT,,,,False
TXNAD10337E7D,ACC4A13B151,CUST0004,2026-04-01T03:38:42,434.96,USD,credit,card,Merchant/Tanaka,GB,FIAT,,,,False
TXN1524C5486E,ACC80075352,CUST0031,2026-04-01T03:41:01,858.3,USD,debit,card,Merchant/Adeyemi,SG,FIAT,,,,False
TXNBCFD7D702F,ACC57556A6E,CUST0080,2026-04-01T04:01:43,209.81,USD,debit,card,Merchant/Silva,NL,FIAT,,,,False
TXN022DBDD59E,ACCCC1882B4,CUST0089,2026-04-01T04:32:25,4921.5,USD,debit,wire,Merchant/Reyes,SG,FIAT,,,,False
TXN5625BE38B7,ACC78072F9C,CUST0046,2026-04-01T04:33:19,446.23,USD,credit,wire,Merchant/Haddad,NL,FIAT,,,,False
TXN53B6EBF44A,ACC78072F9C,CUST0046,2026-04-01T04:46:15,337.36,USD,credit,card,Merchant/Abara,NL,FIAT,,,,False
TXN36AAB9B148,ACC27103F42,CUST0020,2026-04-01T05:07:09,6861.97,USD,credit,ach,Merchant/Reyes,DE,FIAT,,,,False
TXN2E9B6AD080,ACC7815A298,CUST0054,2026-04-01T05:12:22,1315.47,SOL,debit,crypto,ClearChain Exchange,US,CRYPTO,SOL,exchange_wallet,,False
TXN7AFB7DC760,ACC53946092,CUST0012,2026-04-01T05:45:45,2381.91,USD,debit,wire,Merchant/Adeyemi,CA,FIAT,,,,False
TXNC928F88DFF,ACC0BB1FA13,CUST0057,2026-04-01T06:40:42,259.33,USD,debit,card,Merchant/Kim,CA,FIAT,,,,False
TXN2CB168C030,ACCC5335F93,CUST0087,2026-04-01T07:06:52,2854.67,USD,credit,ach,Merchant/Reyes,AU,FIAT,,,,False
TXN98F33762B8,ACCF945E5E7,CUST0018,2026-04-01T09:36:33,192.97,USD,debit,card,Merchant/Volkov,FR,FIAT,,,,False
TXN00B885A17A,ACC282C086D,CUST0036,2026-04-01T10:00:23,1404.75,USD,credit,wire,Merchant/Volkov,AU,FIAT,,,,False
TXNCD10002A46,ACCDCF37C97,CUST0011,2026-04-01T10:22:09,415.79,USD,debit,card,Merchant/Brown,AU,FIAT,,,,False
TXNF033A3B38D,ACCA4DC4645,CUST0028,2026-04-01T11:30:06,2808.39,USD,credit,ach,Merchant/Ivanov,SG,FIAT,,,,False
TXN628FF88A8A,ACC890A231D,CUST0072,2026-04-01T11:31:19,2801.91,ETH,credit,crypto,ClearChain Exchange,AU,CRYPTO,ETH,exchange_wallet,BUYER-2F7F49,False
TXNCB98843698,ACCD3711587,CUST0024,2026-04-01T12:19:41,6046.28,USD,debit,card,Merchant/Muller,DE,FIAT,,,,False
TXND64DB22EA6,ACC78049D8C,CUST0041,2026-04-01T12:29:31,3769.42,XRP,debit,crypto,OrbitalX,CA,CRYPTO,XRP,exchange_wallet,,False
TXN693C702D64,ACC94EF9BD4,CUST0071,2026-04-01T13:04:58,704.9,USD,credit,ach,Merchant/Khan,SG,FIAT,,,,False
TXNDAF333B3C6,ACCFC5E29A7,CUST0021,2026-04-01T13:09:14,1716.67,USD,credit,ach,Merchant/Volkov,US,FIAT,,,,False
TXNC5F1502D25,ACC006A7EBF,CUST0055,2026-04-01T13:32:19,959.15,USD,credit,wire,Merchant/Lee,NL,FIAT,,,,False
TXNF234492D41,ACC78049D8C,CUST0041,2026-04-01T13:37:28,257.03,USD,credit,card,Merchant/Smith,CA,FIAT,,,,False
TXN237C2A9E0C,ACCC67FF9ED,CUST0076,2026-04-01T14:48:20,760.95,USD,credit,card,Merchant/Smith,DE,FIAT,,,,False
TXNCCAD452A04,ACCDDE58137,CUST0063,2026-04-01T15:01:53,2287.62,USD,credit,wire,Merchant/Volkov,CA,FIAT,,,,False
TXN45F0E15AF9,ACC64971567,CUST0068,2026-04-01T15:31:50,2244.08,XRP,debit,crypto,ClearChain Exchange,DE,CRYPTO,XRP,exchange_wallet,,False
TXN68BC1FDA74,ACC006A7EBF,CUST0055,2026-04-01T16:06:09,1150.08,USD,debit,wire,Merchant/Brown,NL,FIAT,,,,False
TXNC0F40C66EE,ACC0A07CC5A,CUST0086,2026-04-01T16:16:18,3015.09,USD,credit,ach,Merchant/Moreau,CA,FIAT,,,,False
TXN001DA351F3,ACCD3711587,CUST0024,2026-04-01T16:45:48,1177.51,USD,credit,wire,Merchant/Lee,DE,FIAT,,,,False
TXN5B48E8597D,ACCA86BE06F,CUST0050,2026-04-01T16:50:21,675.2,USD,debit,card,Merchant/Lee,NL,FIAT,,,,False
TXN383628694B,ACCA86BE06F,CUST0050,2026-04-01T16:55:17,490.48,USD,credit,wire,Merchant/Santos,NL,FIAT,,,,False
TXNB22C451FF9,ACCA972A572,CUST0083,2026-04-01T17:00:55,2020.53,USD,credit,card,Merchant/Kowalski,DE,FIAT,,,,False
TXN735954E2C5,ACC50D980A5,CUST0088,2026-04-01T17:07:35,440.15,USD,credit,ach,Merchant/Ivanov,SG,FIAT,,,,False
TXND0F386A977,ACCDCF7FDD7,CUST0067,2026-04-01T20:40:12,958.85,USD,credit,card,Merchant/Kim,NL,FIAT,,,,False
TXNB5F76EE372,ACC7815A298,CUST0054,2026-04-01T22:07:50,394.73,USD,debit,wire,Merchant/Rossi,US,FIAT,,,,False
TXN7C97D0DD0E,ACC86CD298C,CUST0061,2026-04-01T22:40:53,7794.4,USD,credit,ach,Merchant/Tanaka,FR,FIAT,,,,False
TXND395E67BB7,ACC1DAE138B,CUST0043,2026-04-01T23:10:55,267.42,USD,debit,card,Merchant/Silva,US,FIAT,,,,False
TXN010926FFEF,ACCDB6B7A26,CUST0065,2026-04-01T23:25:02,1028.95,USD,debit,ach,Merchant/Andersson,CA,FIAT,,,,False
TXND4F3864ED3,ACCC5335F93,CUST0087,2026-04-02T01:25:53,8331.0,USD,credit,ach,Merchant/Lee,AU,FIAT,,,,False
TXN76AD282838,ACC80075352,CUST0031,2026-04-02T02:19:28,583.19,USD,debit,wire,Merchant/Novak,SG,FIAT,,,,False
TXN33A8387A6A,ACC78072F9C,CUST0046,2026-04-02T04:38:04,931.43,XRP,debit,crypto,CoinBridge Exchange,NL,CRYPTO,XRP,exchange_wallet,,False
TXNBA845629D3,ACC86CD298C,CUST0061,2026-04-02T05:40:27,4987.99,USD,credit,ach,Merchant/Silva,FR,FIAT,,,,False
TXNCA83E80970,ACCA972A572,CUST0083,2026-04-02T06:13:54,2860.92,USD,debit,card,Merchant/Nguyen,DE,FIAT,,,,False
TXN1E35FAF188,ACC86CD298C,CUST0061,2026-04-02T06:35:26,1354.46,USD,debit,ach,Merchant/Reyes,FR,FIAT,,,,False
TXNEEEA69E122,ACCCC1882B4,CUST0089,2026-04-02T06:55:08,2410.21,USD,debit,wire,Merchant/Chen,SG,FIAT,,,,False
TXNDE4A510606,ACC006A7EBF,CUST0055,2026-04-02T07:48:15,495.74,USD,debit,card,Merchant/Haddad,NL,FIAT,,,,False
TXNA127BEC714,ACC62036A3C,CUST0013,2026-04-02T08:08:27,542.83,USD,credit,card,Merchant/Garcia,SG,FIAT,,,,False
TXNBA7A12E8A6,ACCED830739,CUST0042,2026-04-02T08:19:59,243.85,USD,debit,card,Merchant/Reyes,CA,FIAT,,,,False
TXNBF289E6C1D,ACC95EBD168,CUST0027,2026-04-02T08:53:34,525.01,USD,debit,ach,Merchant/Silva,AU,FIAT,,,,False
TXN736B4C89AE,ACCE449065E,CUST0082,2026-04-02T09:06:51,450.96,USD,debit,ach,Merchant/Kowalski,DE,FIAT,,,,False
TXNF99D14620E,ACC7A6DEBCB,CUST0081,2026-04-02T12:20:01,6691.87,USD,debit,ach,Merchant/Lee,AU,FIAT,,,,False
TXNDC9CD98DC9,ACCA229FF18,CUST0056,2026-04-02T12:26:25,909.74,USD,debit,wire,Merchant/Andersson,FR,FIAT,,,,False
TXN0F92EFA3B9,ACC2AE359FF,CUST0032,2026-04-02T12:36:06,1460.06,USD,debit,wire,Merchant/Abara,CA,FIAT,,,,False
TXN3C3D633309,ACCC67FF9ED,CUST0076,2026-04-02T13:37:17,2133.19,USDT,credit,crypto,CoinBridge Exchange,DE,CRYPTO,USDT,exchange_wallet,BUYER-9B4512,False
TXNCC17DF2844,ACCC5335F93,CUST0087,2026-04-02T15:30:39,3769.79,USD,debit,card,Merchant/Kowalski,AU,FIAT,,,,False
TXN110A7E3633,ACCC40869FF,CUST0037,2026-04-02T16:52:58,7543.21,USD,credit,card,Merchant/Tanaka,US,FIAT,,,,False
TXN4F157F3B6A,ACC67D2D5E4,CUST0049,2026-04-02T17:07:28,177.64,USD,credit,ach,Merchant/Santos,AU,FIAT,,,,False
TXN66AB3515E0,ACCED830739,CUST0042,2026-04-02T18:14:50,740.36,USD,credit,ach,Merchant/Kim,CA,FIAT,,,,False
TXN84260D17A2,ACC111E36C4,CUST0030,2026-04-02T18:48:37,7648.39,USD,credit,wire,Merchant/Kim,NL,FIAT,,,,False
TXNC7E933C132,ACCFFF6AE73,CUST0073,2026-04-02T19:37:05,219.19,USDT,debit,crypto,ClearChain Exchange,DE,CRYPTO,USDT,exchange_wallet,,False
TXNA9221B66E2,ACCED830739,CUST0042,2026-04-02T20:19:08,169.81,USD,credit,wire,Merchant/Silva,CA,FIAT,,,,False
TXN7062E970AE,ACC586AEF9F,CUST0085,2026-04-02T20:46:03,377.93,USD,credit,ach,Merchant/Lee,DE,FIAT,,,,False
TXNE2ADA2D6C9,ACC16F48D07,CUST0040,2026-04-02T21:55:56,3905.87,USD,credit,card,Merchant/Adeyemi,FR,FIAT,,,,False
TXN32B055F1C2,ACC94EF9BD4,CUST0071,2026-04-02T22:51:12,779.82,USD,debit,card,Merchant/Lee,SG,FIAT,,,,False
TXNF8AB63A510,ACCA229FF18,CUST0056,2026-04-03T00:16:17,1603.67,USD,debit,card,Merchant/Moreau,FR,FIAT,,,,False
TXN9E4E3A3963,ACCC411DF40,CUST0079,2026-04-03T00:24:24,441.31,USD,credit,ach,Merchant/Cohen,SG,FIAT,,,,False
TXN532DCEB27D,ACC29E078EA,CUST0060,2026-04-03T01:33:34,260.32,USD,credit,card,Merchant/Okafor,FR,FIAT,,,,False
TXN38AD0B36E4,ACC35543B56,CUST0064,2026-04-03T01:57:59,3169.86,USDT,debit,crypto,CoinBridge Exchange,FR,CRYPTO,USDT,exchange_wallet,,False
